"",".rownames","X1","X2","X3","X4","X5"
"772","manners",1,0,0,0,1
"773","mantook",1,0,0,0,0
"774","mantua",1,0,4,2,6
"775","many",4,3,3,3,0
"776","manys",1,0,0,0,0
"777","marchpane",1,0,0,0,0
"778","margent",1,0,0,0,0
"779","mark",2,2,1,0,0
"780","markman",1,0,0,0,0
"781","marrd",1,0,0,0,0
"782","marriage",1,3,2,2,2
"783","married",4,1,4,7,3
"784","marry",7,4,5,7,0
"785","martino",1,0,0,0,0
"786","mask",2,1,0,0,0
"787","maskd",1,0,0,0,0
"788","maskers",2,0,0,0,0
"789","masks",1,0,0,0,0
"790","master",2,1,0,0,7
"791","masters",3,0,0,0,0
"792","match",1,1,2,0,0
"793","matternurse",1,0,0,0,0
"794","may",6,12,14,10,5
"795","mean",3,0,3,1,2
"796","meaning",1,1,0,0,1
"797","means",1,4,1,0,2
"798","measure",4,1,2,0,0
"799","measuring",1,0,0,0,0
"800","meddle",1,0,0,0,0
"801","meeting",2,0,0,0,0
"802","men",10,1,5,1,3
"803","mend",2,0,0,0,0
"804","mens",2,2,1,1,2
"805","mercutio",14,39,30,0,0
"806","merit",2,0,0,0,0
"807","merry",3,0,0,4,1
"808","midwife",1,0,0,0,0
"809","might",1,1,2,1,0
"810","mind",4,0,1,2,1
"811","mine",8,11,6,2,1
"812","mire",1,0,0,0,0
"813","misadventured",1,0,0,0,0
"814","misery",1,0,0,0,1
"815","misfortune",1,0,0,0,0
"816","misgives",1,0,0,0,0
"817","miss",2,0,0,0,0
"818","misshapen",1,0,1,0,0
"819","mistemperd",1,0,0,0,0
"820","mistress",1,5,2,2,0
"821","mistresses",1,0,0,0,0
"822","montague",22,5,4,0,10
"823","montagues",6,0,0,0,1
"824","moonshines",1,0,0,0,0
"825","more",22,14,17,4,10
"826","morning",2,1,0,3,2
"827","most",6,3,1,5,1
"828","mother",5,4,6,0,0
"829","mothers",2,0,0,0,0
"830","mouse",1,0,2,0,0
"831","move",6,0,1,2,0
"832","moved",4,0,3,0,0
"833","moves",1,0,0,0,0
"834","much",9,10,10,5,3
"835","muffled",1,0,0,0,0
"836","music",1,2,0,6,0
"837","musicians",2,0,0,6,0
"838","must",9,9,9,7,6
"839","mutiny",2,0,0,0,0
"840","myself",3,3,2,1,5
"841","naked",1,0,0,0,0
"842","name",2,15,6,0,1
"843","names",4,1,1,0,0
"844","napkins",1,0,0,0,0
"845","nay",10,7,3,0,0
"846","near",2,0,3,2,0
"847","neck",2,0,0,0,0
"848","need",1,0,3,3,3
